Sample No,Year Ref,Collection Date,Layer,Spit,Column,Position,Notes,Possibly anthropogenically worked stuff ,Possibly anthropogenically worked stuff Description,Minimum Number of Species (MNS),Small shells still to be indentified,Chiton,Ancilla lineolata (A Adams 1853) MNI,Ancilla lineolata (A Adams 1853),Cerithium caeruleum (Sowerby 1855) MNI,Cerithium caeruleum (Sowerby 1855),Cerithium caeruleum (Sowerby 1855) Height,Chicoreus ramosus     (Linnaeus 1758) MNI,Chicoreus ramosus     (Linnaeus 1758),Chicoreus ramosus     (Linnaeus 1758) Height,Chicoreus Species MNI,Chicoreus Species,Conus ardisiaceus (Keiner 1845) MNI,Conus ardisiaceus (Keiner 1845) ,Conus ardisiaceus (Keiner 1845) Height,Conus arenatus aequipunctatus (Dautzenberg 1937) MNI,Conus arenatus aequipunctatus (Dautzenberg 1937),Conus arenatus aequipunctatus (Dautzenberg 1937) Height,Conus erythraeensis (Reeve 1843) MNI,Conus erythraeensis (Reeve 1843),Conus erythraeensis (Reeve 1843) Height,Conus generalis maldives (Hwass in Bruguière 1792) MNI,Conus generalis maldives (Hwass in Bruguière 1792),Conus namocanus (Hwass in Bruguière 1792) MNI,Conus namocanus (Hwass in Bruguière 1792),Conus namocanus (Hwass in Bruguière 1792) Height,Conus Species MNI,Conus Species,Juvenile Cypraea Species MNI,Juvenile Cypraea Species,Juvenile Cypraea Species Height,Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798) MNI,Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798),Cypraea caurica (Linnaeus 1758) also Erronea caurica quinquefasciata (Röding 1798) Height,Cyprea turdus (Lamarck 1810) MNI,Cyprea turdus (Lamarck 1810),Cyprea turdus (Lamarck 1810) Length,Cyprea turdus (Lamarck 1810) Width,Cypraea Species MNI,Cypraea Species,Cypraea Species Height,Diacavolinia flexipes (Van der Spoel 1993) MNI,Diacavolinia flexipes (Van der Spoel 1993),Diodora Species MNI,Diodora Species,Dolomena plicata (Röding 1798) MNI,Dolomena plicata (Röding 1798),Ergalatax Species MNI,Ergalatax Species,Haminoea pemphis (Philippi 1847) MNI,Haminoea pemphis (Philippi 1847),Hemitoma panhi (Quoy & Gaimardi 1834) MNI,Hemitoma panhi (Quoy & Gaimardi 1834) ,Mitra fasciolaris (Deshayes in Laborde 1834) MNI,Mitra fasciolaris (Deshayes in Laborde 1834),Mitra fasciolaris (Deshayes in Laborde 1834) Height,Nassarius (Nassarius)  arcularia plicatus   (Röding 1778) MNI,Nassarius (Nassarius)  arcularia plicatus   (Röding 1778),Nassarius (Nassarius)  arcularia plicatus   (Röding 1778) Height,Nassarius Species,Nerita albicilla (Linnaeus 1758) MNI,Nerita albicilla (Linnaeus 1758),Nerita albicilla (Linnaeus 1758) Length,Nerita albicilla (Linnaeus 1758) Width,Nerita longii (Récluz 1841) MNI,Nerita longii (Récluz 1841),Nerita longii (Récluz 1841) Length,Nerita longii (Récluz 1841) Width,Nerita polita orbignyana       (Récluz 1841) MNI,Nerita polita orbignyana       (Récluz 1841),Nerita polita orbignyana       (Récluz 1841) Length,Nerita polita orbignyana       (Récluz 1841) Width,Nerita sanguinolenta (Menke 1829) MNI,Nerita sanguinolenta (Menke 1829),Nerita sanguinolenta (Menke 1829) Length,Nerita sanguinolenta (Menke 1829) Width,Nerita sanguinolenta (Menke 1829) Height,Nerita textiles (Gmelin 1791) MNI,Nerita textiles (Gmelin 1791),Nerita textiles (Gmelin 1791) Length,Nerita textiles (Gmelin 1791) Width,Nerita Species MNI,Nerita Species,Ocinebrina Species MNI,Ocinebrina Species,Ocinebrina Species Height,Pleuroploca trapezium MNI,Pleuroploca trapezium,Pleuroploca trapezium Height,Pyrene species (Röding 1798) MNI,Pyrene species (Röding 1798),Rapana rapiformis (Born 1778) MNI,Rapana rapiformis (Born 1778),Rapana rapiformis (Born 1778) Height,Rapana Species,Stomatellinae Species MNI,Stomatellinae Species,Strombus erythrinus (Dillwyn 1817) also Canarium erythrinum (Dillwyn 1817) MNI,Strombus erythrinus (Dillwyn 1817) also Canarium erythrinum (Dillwyn 1817),Strombus fasciatus             (Born 1778) MNI,Strombus fasciatus             (Born 1778),Strombus fasciatus             (Born 1778) Aperture,Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821) MNI,Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821),Strombus mutabilis (Swainson 1821) also Canarium mutabile (Swainson 1821) Height,Strombus tricornis (Lightfoot 1786) MNI,Strombus tricornis (Lightfoot 1786),Strombus Species MNI,Strombus Species,Trochus dentatus (Forskål 1775) also Tectus dentatus (Forskål 1775) Knobbed Top Shell MNI,Trochus dentatus (Forskål 1775) also Tectus dentatus (Forskål 1775) Knobbed Top Shell,Trochus erithreus (Brocchi 1821) MNI,Trochus erithreus (Brocchi 1821),Volema paradisiaca nodosa(Lamarck 1822) MNI,Volema paradisiaca nodosa(Lamarck 1822),Volema paradisiaca nodosa(Lamarck 1822) Height,Volema Species,Unidentified Gastropod (1)MNI,Unidentified Gastropod (1),Unidentified Gastropod (1) Height,Unidentified Gastropod (2) MNI,Unidentified Gastropod (2),Operculum,Acrosterigma maculosum (W Wood 1815),Amygdalum watsoni (Smith 1885) Left MNI,Amygdalum watsoni (Smith 1885) Right MNI,Amygdalum watsoni (Smith 1885),Arca avellana (Lamarck 1819) Left MNI,Arca avellana (Lamarck 1819) Right MNI,Arca avellana (Lamarck 1819),Arca avellana (Lamarck 1819) Left Hinge,Arca avellana (Lamarck 1819) Right Hinge,Arca ventricosa (Lamarck 1819) Left MNI,Arca ventricosa (Lamarck 1819) Right MNI,Arca ventricosa (Lamarck 1819),Arca ventricosa (Lamarck 1819) Left Hinge,Arca ventricosa (Lamarck 1819) Right Hinge,Arca Species,Beguina gubernaculum (Reeve 1843) Left MNI,Beguina gubernaculum (Reeve 1843) Right MNI,Beguina gubernaculum (Reeve 1843),Beguina gubernaculum (Reeve 1843) Left Length,Beguina gubernaculum (Reeve 1843) Left Width,Beguina gubernaculum (Reeve 1843) Right Length,Beguina gubernaculum (Reeve 1843) Right Width,Botula cinnamomea (Gmelin 1791) Left MNI,Botula cinnamomea (Gmelin 1791) Right MNI,Botula cinnamomea (Gmelin 1791),Botula cinnamomea (Gmelin 1791) Left Length,Botula cinnamomea (Gmelin 1791) Left Width,Botula cinnamomea (Gmelin 1791) Right Length,Botula cinnamomea (Gmelin 1791) Right Width,Brachidontes variabilis(Krauss 1848),Chama asperella (Lamarck 1819) Lower MNI,Chama asperella (Lamarck 1819) Upper MNI,Chama asperella (Lamarck 1819),Chama asperella (Lamarck 1819) Lower Length,Chama asperella (Lamarck 1819) Lower Width,Chama asperella (Lamarck 1819) Upper Length,Chama asperella (Lamarck 1819) Upper Width,Chama aspersa (Reeve 1846) Lower MNI,Chama aspersa (Reeve 1846) Upper MNI,Chama aspersa (Reeve 1846),Chama aspersa (Reeve 1846) Lower Hinge,Chama aspersa (Reeve 1846) Upper Hinge,Chama limbula (Lamarck 1819) Lower MNI,Chama limbula (Lamarck 1819) Upper MNI,Chama limbula (Lamarck 1819),Chama reflexa (Reeve 1846) Upper MNI,Chama reflexa (Reeve 1846) Lower MNI,Chama reflexa (Reeve 1846),Chama reflexa (Reeve 1846) Upper Hinge,Chama reflexa (Reeve 1846) Lower Hinge,Chama Species Upper MNI,Chama Species Lower MNI,Chama Species,Dendrostrea Species,Fragum nivale (Reeve 1845) Left MNI,Fragum nivale (Reeve 1845) Right MNI,Fragum nivale (Reeve 1845) ,Gafrarium pectinatum (Linnaeus 1758) Left MNI,Gafrarium pectinatum (Linnaeus 1758) Right MNI,Gafrarium pectinatum (Linnaeus 1758),Irus macrophylla (Deshayes 1853) Left MNI,Irus macrophylla (Deshayes 1853) Right MNI,Irus macrophylla (Deshayes 1853),Isognomon Species Left MNI,Isognomon Species Right MNI,Isognomon Species,Modiolus auriculatus (Krauss 1848) Left MNI,Modiolus auriculatus (Krauss 1848) Right MNI,Modiolus auriculatus (Krauss 1848),Modiolus auriculatus (Krauss 1848) Left Length,Modiolus auriculatus (Krauss 1848) Left Width,Modiolus auriculatus (Krauss 1848) Right Length,Modiolus auriculatus (Krauss 1848) Right Width,Modiolus ligneus (Reeve 1858) Left MNI,Modiolus ligneus (Reeve 1858) Right MNI,Modiolus ligneus (Reeve 1858),Modiolus Species,Mytilus Species Left MNI,Mytilus Species Right MNI,Mytilus Species,Mytilus Species Left Length,Mytilus Species Left Width,Mytilus Species Right Length,Mytilus Species Right Width,Ostrea Species,Pinctada Species Left MNI,Pinctada Species Right MNI,Pinctada Species,Pinctada Species Left Hinge,Pinctada Species Right Hinge,Plicatula plicata (Linnaeus 1767) Lower MNI,Plicatula plicata (Linnaeus 1767) Upper MNI,Plicatula plicata (Linnaeus 1767),Plicatula plicata (Linnaeus 1767) Lower Length,Plicatula plicata (Linnaeus 1767) Lower Width,Plicatula plicata (Linnaeus 1767) Upper Length,Plicatula plicata (Linnaeus 1767) Upper Width,Septifer forskali (Dunker 1855),Spondylus Species,Tapes deshayesii (Sowerby 1852) Left MNI,Tapes deshayesii (Sowerby 1852) Right MNI,Tapes deshayesii (Sowerby 1852),Tapes deshayesii (Sowerby 1852) Left Length,Tapes deshayesii (Sowerby 1852) Left Width,Tapes deshayesii (Sowerby 1852) Right Length,Tapes deshayesii (Sowerby 1852) Right Width,Vulsella fornicata (Forskå1 1775) Left MNI,Vulsella fornicata (Forskå1 1775) Right MNI,Vulsella fornicata (Forskå1 1775),Vulsella Species MNI Left,Vulsella Species,Unidentified Bivalve (1),Unidentified Shell Fragments,Burnt Shell,Barnacle,Bone,Calcite,Calcite Angels,Charcoal,Coral,Crab,Encrustation Fragments,Fishbone,Pearl,Pearl,Sea Urchin,Stone/Breccia,Strange Brown Stuff,Worm,Unsorted Residue,Rough Sorted Residue,Sorted Residue,Unsorted Residue left in Saudi 1mm,Shell/Other material left in Saudi ,York Sample ,Total Sample Weight,Sample Number,
2979,,,1a,0.333333333,,,,,,10,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200.5,,,,,,,,,,,,49,378.5,20.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,1,14,,,44.11,28.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,28,28,274,,,9,12,134.5,31.19,26.45,37.07,31.13,,,,,,,,,,,,,,,26.5,,122.5,1,,,,,34.5,,5,,,,0.5,,,0.5,4902,,887,,,6836.5,6836.5,2979,
2980,,,1a,0.666666667,,,,,,8,,,,,,,,,,,,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,123.5,21.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,22,21,220,,,4,3,35,38.19,30.81,33.15,27.83,,,,,,,,,,,,,,,19.5,6.5,25,,,,,,9.5,,,,,,,,,,2079,,303,,,2844.5,2844.5,,
2982,,,1b,1/6,,,,,,10,,,,,,,,,,,,145.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,30,397.5,23.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,35,34,430,,,,,,,,,,,,,,,,,,,,,,,,14,,27.5,,,,,,6,,,0.5,,,,,,9,2337,,523,,,3977.5,3977.5,2982,
2983,,,1b,2/6,,,,,,12,1,,,,,5,,,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,888,21.61,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,32.5,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,35.5,20,11,165,,,,,,,,,,,,,,,,,,,,,,,,12,,21,,,,,,20.5,,,1,,,,,,1,1926,,149,,,3995,3995,2983,
2984,,,1b,3/6,,,,,,10,0.5,,,,,,,,,,2,876.5,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,200.5,,,,,,,,,,,,41,793.5,23.42,,,,,39.5,,,,,,,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,9,2,79.5,,,,,20.5,,,,,,,,,,,,,,,,,,,15,,22,,,,,,5.5,,,,,,,15.5,,2,18.68.5,,683,,,4724.5,4724.5,2984,
2985,,,1b,4/6,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,107.5,,,,,,,,,,,,26,866,22.4,,,,,,,,,,,,,,,,,3,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,0.5,,,,,,,,,1,,,,,,,,,,,,,,,,9.5,3,5,70,,,,,5.5,,,,,,,,,,,,,,,,,,,,,14.5,,,,,,0.5,,,0.5,,,,,,,1393,,,,,2502.5,2502,2985,
2986,,,1b,5/6,,,,,,8,0.5,,,,,,,,,,,299.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,985,19.37,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,62.5,,,,,9.5,,,,,,,,,,,,,,,,,,,7,,15.5,,,,,,1.5,,,0.5,,,,11,,0.5,1706,,,,,3057,3057,2986,
2987,,,1b,6/6,,,,,,9,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.5,,,,,,,,,,,,49,2123.5,23.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,12,5,73.5,,,,,6.5,,,,,,,,,,,,,,,,,,,7.5,,36.5,,,,,,2.5,,,0.5,,,,43,,1,2695,,,,,5431,5431,2987,
2988,,,2,1/5,,,,,,12,0.5,,,,,,,,,,,69,,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,54,1764.5,22.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,28.5,,,48.29,25.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,7.5,10,5,93,,,,,5.5,,,,,,,,,,,,,,,,,,,7,,22,,,,,,9.5,,,0.5,,,,6,,1.5,,,,1343.5,,3384,3384,2988,
2989,F13,,2,2/5,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,1993,22.89,,,,,,,,,,,,,,,,,9,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,2,5,6,42.5,,,,,,,,,,,,,,,,,,,,,,,,0.5,,15.5,,,,,,0.5,,1,,,,,3,,2,1760,,,,,3537,3537,2989,
2990,F13,,2,3/5,,,,,,7,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,88,2180.5,22.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,10,2,2,29,,,,,,,,,,,,,,,,,,,,,,,,0.5,,17,,,,,,1.5,,3.5,,,,,20.5,,,710.5,,,,,,,,